"Instrument","Variable","Units","Clean_Name"
"LI-8250","DATE_TIME initial_value","[YYYY-MM-DD HH:MM:SS]","DATE_TIME.initial_value"
"LI-8250","DOY initial_value","[#]","DOY.initial_value"
"CHAMBER","TA initial_value","[C]","TA.initial_value"
"","VOLUME_TOTAL","[cm+3]","VOLUME_TOTAL"
"LI-7810","FCH4_DRY LIN_dCdt","[nmol+1mol-1s-1]","FCH4_DRY.LIN_dCdt"
"LI-7810","FCH4_DRY dCdt","[nmol+1mol-1s-1]","FCH4_DRY.dCdt"
"LI-7810","CO2_DRY initial_value","[umol+1mol-1]","CO2_DRY.initial_value"
"LI-7810","CO2_DRY range","[umol+1mol-1]","CO2_DRY.range"
"LI-7810","CO2_DRY mean","[umol+1mol-1]","CO2_DRY.mean"
"LI-7810","CH4_DRY initial_value","[nmol+1mol-1]","CH4_DRY.initial_value"
"LI-7810","CH4_DRY mean","[nmol+1mol-1]","CH4_DRY.mean"
"LI-7810","CH4_DRY range","[nmol+1mol-1]","CH4_DRY.range"
"CHAMBER","TA mean","[C]","TA.mean"
"CHAMBER","TA range","[C]","TA.range"
"CHAMBER","SWC_1 initial_value","[m+3m-3]","SWC_1.initial_value"
"CHAMBER","SWC_1 range","[m+3m-3]","SWC_1.range"
"CHAMBER","TS_1 range","[C]","TS_1.range"
"CHAMBER","TS_1 initial_value","[C]","TS_1.initial_value"
"LI-7820","N2O_DRY initial_value","[nmol+1mol-1]","N2O_DRY.initial_value"
"LI-7820","N2O_DRY mean","[nmol+1mol-1]","N2O_DRY.mean"
"LI-7820","N2O_DRY range","[nmol+1mol-1]","N2O_DRY.range"
"","OBSERVATION","[s]","OBSERVATION"
"LI-7820","N2O_DRY DEADBAND","[s]","N2O_DRY.DEADBAND"
"LI-7820","FN2O_DRY","[umol+1m-2s-1]","FN2O_DRY"
"LI-7820","FN2O_DRY dCdt","[#]","FN2O_DRY.dCdt"
"LI-7820","FN2O_DRY R2","[#]","FN2O_DRY.R2"
"LI-7820","FN2O_DRY LIN","[umol+1m-2s-1]","FN2O_DRY.LIN"
"LI-7820","FN2O_DRY LIN_dCdt","[#]","FN2O_DRY.LIN_dCdt"
"LI-7820","FN2O_DRY LIN_R2","[#]","FN2O_DRY.LIN_R2"
"LI-7810","CH4_DRY DEADBAND","[s]","CH4_DRY.DEADBAND"
"LI-7810","FCH4_DRY R2","[#]","FCH4_DRY.R2"
"LI-7810","FCH4_DRY","[nmol+1m-2s-1]","FCH4_DRY"
"LI-7810","FCH4_DRY LIN","[nmol+1m-2s-1]","FCH4_DRY.LIN"
"LI-7810","FCH4_DRY LIN_R2","[#]","FCH4_DRY.LIN_R2"
"LI-7810","FCO2_DRY","[umol+1m-2s-1]","FCO2_DRY"
"LI-7810","CO2_DRY DEADBAND","[s]","CO2_DRY.DEADBAND"
"LI-7810","FCO2_DRY dCdt","[umol+1mol-1s-1]","FCO2_DRY.dCdt"
"LI-7810","FCO2_DRY R2","[#]","FCO2_DRY.R2"
"LI-7810","FCO2_DRY LIN","[umol+1m-2s-1]","FCO2_DRY.LIN"
"LI-7810","FCO2_DRY LIN_dCdt","[umol+1mol-1s-1]","FCO2_DRY.LIN_dCdt"
"LI-7810","FCO2_DRY LIN_R2","[#]","FCO2_DRY.LIN_R2"
"LI-7810","FH2O","[mmol+1m-2s-1]","FH2O"
"LI-7810","FH2O LIN","[mmol+1m-2s-1]","FH2O.LIN"
"LI-8250","PORT","[#]","PORT"
